clicks,impressions,datetime,quantity,total_price
8,19,2022-07-06T18:39:57.914Z,6,1.7000000000000002
7,18,2022-07-06T18:39:57.914Z,10,0.8
8,10,2022-07-06T18:39:57.914Z,8,5.2
8,12,2022-07-06T18:39:57.914Z,9,4.1
2,10,2022-07-06T18:39:57.915Z,3,9.6
9,11,2022-07-06T18:39:57.915Z,9,4.1
4,11,2022-07-06T18:39:57.915Z,4,4.8
10,14,2022-07-06T18:40:33.022Z,5,1.7999999999999998
4,11,2022-07-06T18:40:33.022Z,7,4.9
2,14,2022-07-06T18:40:33.022Z,7,4.0
7,20,2022-07-06T18:40:33.022Z,4,1.5
2,18,2022-07-06T18:40:33.022Z,9,0.8
1,14,2022-07-06T18:40:33.022Z,6,9.8
1,15,2022-07-06T18:40:33.022Z,7,9.399999999999999
9,15,2022-07-06T18:40:33.022Z,9,7.3
10,13,2022-07-06T18:40:33.022Z,7,5.300000000000001
6,19,2022-07-06T18:40:33.022Z,4,3.5999999999999996
3,18,2022-07-06T18:38:57.732Z,1,0.5
5,18,2022-07-06T18:38:57.732Z,4,5.1
9,19,2022-07-06T18:38:57.732Z,3,5.699999999999999
5,18,2022-07-06T18:38:57.732Z,3,2.7
4,14,2022-07-06T18:38:57.732Z,4,3.3000000000000003
2,16,2022-07-06T18:38:57.732Z,8,3.2
7,13,2022-07-06T18:38:57.732Z,9,7.800000000000001
9,10,2022-07-06T18:38:57.732Z,3,3.5999999999999996
2,19,2022-07-06T18:38:57.732Z,6,6.4
1,18,2022-07-06T18:38:57.732Z,6,0.1
4,12,2022-07-06T18:39:07.772Z,8,2.3000000000000003
3,20,2022-07-06T18:39:07.772Z,6,3.5999999999999996
5,16,2022-07-06T18:39:07.772Z,10,6.2
10,13,2022-07-06T18:39:07.772Z,7,2.4
7,19,2022-07-06T18:39:07.772Z,7,1.0
2,13,2022-07-06T18:39:07.772Z,1,7.7
2,18,2022-07-06T18:39:07.772Z,9,6.6000000000000005
2,18,2022-07-06T18:39:07.772Z,3,2.0
4,19,2022-07-06T18:39:07.772Z,3,1.6
8,16,2022-07-06T18:39:07.772Z,5,7.4
6,17,2022-07-06T18:39:27.840Z,5,0.2
10,16,2022-07-06T18:39:27.840Z,7,7.1
3,13,2022-07-06T18:39:27.841Z,2,5.699999999999999
1,18,2022-07-06T18:39:27.841Z,7,2.0
9,14,2022-07-06T18:39:27.841Z,9,5.5
10,15,2022-07-06T18:39:27.841Z,8,0.3
7,19,2022-07-06T18:39:27.841Z,10,7.1
2,12,2022-07-06T18:39:27.841Z,9,6.0
1,12,2022-07-06T18:39:27.841Z,4,1.4000000000000001
4,10,2022-07-06T18:39:27.841Z,2,3.4000000000000004
5,16,2022-07-06T18:40:02.922Z,9,6.5
6,11,2022-07-06T18:40:02.922Z,8,1.2
10,13,2022-07-06T18:40:02.922Z,8,6.8999999999999995
10,10,2022-07-06T18:40:02.922Z,5,9.9
3,10,2022-07-06T18:40:02.922Z,5,5.2
2,14,2022-07-06T18:40:02.922Z,9,5.699999999999999
2,13,2022-07-06T18:40:02.922Z,3,4.1
10,14,2022-07-06T18:40:02.922Z,1,5.0
10,12,2022-07-06T18:40:02.922Z,9,5.1
7,20,2022-07-06T18:40:02.922Z,1,9.399999999999999
10,10,2022-07-06T18:38:42.686Z,1,6.800000000000001
5,13,2022-07-06T18:38:42.686Z,9,6.1
1,15,2022-07-06T18:38:42.686Z,6,6.2
7,17,2022-07-06T18:38:42.686Z,5,1.7000000000000002
10,10,2022-07-06T18:38:42.686Z,10,9.6
3,19,2022-07-06T18:38:42.686Z,8,1.3
7,19,2022-07-06T18:38:42.686Z,9,3.7
6,13,2022-07-06T18:38:42.686Z,2,7.3
2,11,2022-07-06T18:38:42.686Z,8,9.6
7,16,2022-07-06T18:38:42.686Z,6,7.800000000000001
10,20,2022-07-06T18:39:17.812Z,2,0.8999999999999999
3,20,2022-07-06T18:39:17.812Z,2,6.4
6,13,2022-07-06T18:39:17.812Z,7,8.8
6,19,2022-07-06T18:39:17.812Z,5,8.299999999999999
1,15,2022-07-06T18:39:17.812Z,8,4.0
10,15,2022-07-06T18:39:17.812Z,7,6.1
4,19,2022-07-06T18:39:17.812Z,9,7.3
4,15,2022-07-06T18:39:17.812Z,5,5.0
6,10,2022-07-06T18:39:17.812Z,8,8.100000000000001
3,14,2022-07-06T18:39:17.812Z,10,6.1
3,20,2022-07-06T18:41:18.159Z,5,4.699999999999999
1,13,2022-07-06T18:41:18.159Z,4,0.3
8,20,2022-07-06T18:41:18.159Z,5,7.199999999999999
1,15,2022-07-06T18:41:18.159Z,6,6.3
9,14,2022-07-06T18:41:18.159Z,7,7.6
10,13,2022-07-06T18:41:18.159Z,3,4.1
6,16,2022-07-06T18:41:18.159Z,9,1.5
10,15,2022-07-06T18:41:18.159Z,2,7.5
4,17,2022-07-06T18:41:18.159Z,10,0.3
3,14,2022-07-06T18:41:18.159Z,4,1.7000000000000002
5,11,2022-07-06T18:38:52.719Z,5,9.5
3,15,2022-07-06T18:38:52.719Z,8,0.3
10,12,2022-07-06T18:38:52.719Z,8,8.8
6,19,2022-07-06T18:38:52.719Z,6,2.5
9,16,2022-07-06T18:38:52.719Z,7,3.5999999999999996
4,19,2022-07-06T18:38:52.720Z,4,5.8
2,15,2022-07-06T18:38:52.720Z,1,6.7
4,10,2022-07-06T18:38:52.720Z,4,7.800000000000001
5,20,2022-07-06T18:38:52.720Z,2,0.8999999999999999
2,14,2022-07-06T18:38:52.720Z,5,2.2
3,12,2022-07-06T18:39:22.824Z,10,6.1
3,14,2022-07-06T18:39:22.824Z,4,9.1
2,13,2022-07-06T18:39:22.824Z,9,8.299999999999999
1,17,2022-07-06T18:39:22.824Z,7,2.5
1,13,2022-07-06T18:39:22.824Z,7,4.699999999999999
8,11,2022-07-06T18:39:22.824Z,10,9.8
8,20,2022-07-06T18:39:22.824Z,8,3.5999999999999996
3,10,2022-07-06T18:39:22.824Z,6,8.8
9,17,2022-07-06T18:39:22.825Z,8,8.0
1,11,2022-07-06T18:39:22.825Z,8,6.7
4,20,2022-07-06T18:40:53.081Z,2,2.1
6,17,2022-07-06T18:40:53.081Z,2,1.9
4,14,2022-07-06T18:40:53.081Z,5,6.1
9,18,2022-07-06T18:40:53.081Z,10,7.7
10,15,2022-07-06T18:40:53.081Z,4,8.100000000000001
2,12,2022-07-06T18:40:53.081Z,5,1.4000000000000001
9,20,2022-07-06T18:40:53.081Z,8,0.3
8,12,2022-07-06T18:40:53.081Z,1,5.300000000000001
8,17,2022-07-06T18:40:53.081Z,1,2.7
9,13,2022-07-06T18:40:53.081Z,6,8.7
8,13,2022-07-06T18:38:32.665Z,8,4.2
9,13,2022-07-06T18:38:32.665Z,5,7.800000000000001
8,17,2022-07-06T18:38:32.665Z,2,1.2
2,19,2022-07-06T18:38:32.665Z,7,6.2
4,10,2022-07-06T18:38:32.665Z,7,2.0
1,10,2022-07-06T18:38:32.665Z,5,0.3
10,12,2022-07-06T18:38:32.665Z,10,5.300000000000001
3,18,2022-07-06T18:38:32.665Z,9,8.100000000000001
7,13,2022-07-06T18:38:32.665Z,2,6.2
1,15,2022-07-06T18:38:32.665Z,1,7.7
1,11,2022-07-06T18:41:03.104Z,10,7.800000000000001
4,14,2022-07-06T18:41:03.104Z,5,1.9
5,14,2022-07-06T18:41:03.104Z,7,3.5
4,13,2022-07-06T18:41:03.104Z,5,9.0
2,15,2022-07-06T18:41:03.104Z,4,0.0
7,16,2022-07-06T18:41:03.104Z,10,3.5
4,11,2022-07-06T18:41:03.104Z,2,7.0
7,11,2022-07-06T18:41:03.104Z,9,9.3
2,12,2022-07-06T18:41:03.104Z,3,1.7999999999999998
10,15,2022-07-06T18:41:03.104Z,10,4.9
3,14,2022-07-06T18:39:47.885Z,9,2.2
7,19,2022-07-06T18:39:47.885Z,7,5.699999999999999
10,18,2022-07-06T18:39:47.885Z,2,2.5
3,12,2022-07-06T18:39:47.885Z,3,3.2
3,13,2022-07-06T18:39:47.885Z,6,0.6
1,19,2022-07-06T18:39:47.885Z,3,0.7000000000000001
10,16,2022-07-06T18:39:47.885Z,3,7.3
10,20,2022-07-06T18:39:47.885Z,8,1.1
3,16,2022-07-06T18:39:47.885Z,2,9.6
4,19,2022-07-06T18:39:47.885Z,5,5.8
9,17,2022-07-06T18:38:27.651Z,10,3.9000000000000004
1,16,2022-07-06T18:38:27.651Z,6,4.0
6,18,2022-07-06T18:38:27.651Z,6,4.699999999999999
10,18,2022-07-06T18:38:27.651Z,7,2.4
7,11,2022-07-06T18:38:27.651Z,8,5.4
4,11,2022-07-06T18:38:27.651Z,1,2.0
7,15,2022-07-06T18:38:27.651Z,8,1.6
2,17,2022-07-06T18:38:27.651Z,6,9.0
6,14,2022-07-06T18:38:27.651Z,8,4.2
9,14,2022-07-06T18:38:27.651Z,9,1.3
7,10,2022-07-06T18:39:52.899Z,4,5.2
8,16,2022-07-06T18:39:52.899Z,2,0.3
8,20,2022-07-06T18:39:52.899Z,4,3.3000000000000003
4,17,2022-07-06T18:39:52.899Z,8,1.5
2,10,2022-07-06T18:39:52.899Z,5,9.5
3,14,2022-07-06T18:39:52.900Z,3,1.9
6,13,2022-07-06T18:39:52.900Z,5,2.7
4,14,2022-07-06T18:39:52.900Z,1,1.7999999999999998
1,18,2022-07-06T18:39:52.900Z,10,8.4
8,10,2022-07-06T18:39:52.900Z,4,9.8
5,10,2022-07-06T18:40:07.933Z,7,8.2
5,16,2022-07-06T18:40:07.934Z,2,2.4
6,12,2022-07-06T18:40:07.936Z,7,9.8
2,12,2022-07-06T18:40:07.936Z,5,6.4
5,14,2022-07-06T18:40:07.936Z,3,5.8
9,14,2022-07-06T18:40:07.936Z,3,3.4000000000000004
10,20,2022-07-06T18:40:07.936Z,4,7.5
4,15,2022-07-06T18:40:07.936Z,6,9.8
6,10,2022-07-06T18:40:07.936Z,3,0.2
7,16,2022-07-06T18:40:07.936Z,1,5.6000000000000005
9,20,2022-07-06T18:40:48.063Z,3,0.2
9,16,2022-07-06T18:40:48.064Z,2,1.0
6,15,2022-07-06T18:40:48.064Z,6,2.8000000000000003
7,13,2022-07-06T18:40:48.064Z,5,4.0
5,10,2022-07-06T18:40:48.064Z,5,2.4
8,12,2022-07-06T18:40:48.064Z,10,3.2
10,10,2022-07-06T18:40:48.064Z,1,8.2
8,16,2022-07-06T18:40:48.064Z,6,6.5
8,12,2022-07-06T18:40:48.064Z,1,9.399999999999999
6,17,2022-07-06T18:40:48.064Z,6,8.7
1,13,2022-07-06T18:41:13.134Z,4,2.4
3,18,2022-07-06T18:41:13.134Z,6,3.5999999999999996
8,14,2022-07-06T18:41:13.134Z,4,5.300000000000001
9,15,2022-07-06T18:41:13.134Z,10,5.1
5,14,2022-07-06T18:41:13.134Z,3,9.0
4,13,2022-07-06T18:41:13.134Z,4,4.9
1,12,2022-07-06T18:41:13.134Z,5,4.3
1,19,2022-07-06T18:41:13.134Z,10,9.6
3,18,2022-07-06T18:41:13.134Z,7,1.2
2,10,2022-07-06T18:41:13.134Z,3,3.1
9,10,2022-07-06T18:39:02.754Z,5,9.6
5,10,2022-07-06T18:39:02.754Z,2,9.0
1,12,2022-07-06T18:39:02.754Z,8,9.399999999999999
3,15,2022-07-06T18:39:02.754Z,9,8.0
3,15,2022-07-06T18:39:02.754Z,4,9.7
5,19,2022-07-06T18:39:02.754Z,10,8.9
1,18,2022-07-06T18:39:02.754Z,1,4.2
3,19,2022-07-06T18:39:02.754Z,4,4.8
10,18,2022-07-06T18:39:02.754Z,2,4.699999999999999
2,13,2022-07-06T18:39:02.754Z,4,9.8
9,16,2022-07-06T18:40:43.051Z,7,6.800000000000001
5,19,2022-07-06T18:40:43.051Z,3,7.3
1,17,2022-07-06T18:40:43.051Z,8,4.5
7,20,2022-07-06T18:40:43.051Z,2,5.2
8,11,2022-07-06T18:40:43.051Z,1,0.0
10,10,2022-07-06T18:40:43.051Z,9,2.7
7,12,2022-07-06T18:40:43.051Z,7,4.5
6,12,2022-07-06T18:40:43.051Z,1,0.4
8,20,2022-07-06T18:40:43.051Z,3,3.7
5,15,2022-07-06T18:40:43.051Z,3,6.8999999999999995
2,10,2022-07-06T18:39:37.865Z,8,5.699999999999999
8,14,2022-07-06T18:39:37.865Z,4,8.6
4,13,2022-07-06T18:39:37.865Z,2,3.2
2,10,2022-07-06T18:39:37.865Z,4,2.0
9,17,2022-07-06T18:39:37.865Z,2,0.6
10,11,2022-07-06T18:39:37.865Z,1,9.7
3,12,2022-07-06T18:39:37.865Z,3,6.7
8,12,2022-07-06T18:39:37.865Z,3,5.300000000000001
6,15,2022-07-06T18:39:37.865Z,7,8.9
2,13,2022-07-06T18:39:37.865Z,1,4.8
7,13,2022-07-06T18:41:08.116Z,9,4.5
2,15,2022-07-06T18:41:08.116Z,5,3.3000000000000003
2,19,2022-07-06T18:41:08.116Z,2,1.3
10,15,2022-07-06T18:41:08.116Z,4,7.7
8,18,2022-07-06T18:41:08.116Z,1,2.0
8,11,2022-07-06T18:41:08.116Z,10,5.2
10,11,2022-07-06T18:41:08.116Z,4,5.2
8,18,2022-07-06T18:41:08.116Z,1,7.1
4,17,2022-07-06T18:41:08.116Z,6,4.1
10,11,2022-07-06T18:41:08.116Z,9,7.5
3,10,2022-07-06T18:40:28.011Z,3,7.9
1,17,2022-07-06T18:40:28.011Z,7,1.9
1,19,2022-07-06T18:40:28.011Z,1,4.5
8,14,2022-07-06T18:40:28.011Z,3,9.6
9,14,2022-07-06T18:40:28.011Z,8,4.4
10,11,2022-07-06T18:40:28.011Z,2,6.5
10,15,2022-07-06T18:40:28.011Z,10,2.0
3,10,2022-07-06T18:40:28.011Z,1,5.8999999999999995
3,17,2022-07-06T18:40:28.011Z,2,3.0
8,14,2022-07-06T18:40:28.011Z,3,6.1
10,13,2022-07-06T18:39:12.790Z,6,6.0
4,20,2022-07-06T18:39:12.790Z,9,9.6
6,12,2022-07-06T18:39:12.790Z,1,6.5
4,10,2022-07-06T18:39:12.790Z,2,6.2
3,20,2022-07-06T18:39:12.790Z,4,4.2
7,12,2022-07-06T18:39:12.790Z,3,1.6
2,18,2022-07-06T18:39:12.790Z,1,5.8
3,10,2022-07-06T18:39:12.790Z,7,7.3
9,18,2022-07-06T18:39:12.790Z,10,7.0
2,14,2022-07-06T18:39:12.790Z,4,4.699999999999999
